type,name,segment,latitude,longitude,elevation_m,time
trackpoint,Monday Morning Walk,1,38.571513,-78.293021,238.9,2026-04-20T11:20:40.298Z
trackpoint,Monday Morning Walk,1,38.571635,-78.293002,241.7,2026-04-20T11:20:47.000Z
trackpoint,Monday Morning Walk,1,38.571608,-78.293032,243.7,2026-04-20T11:20:52.000Z
trackpoint,Monday Morning Walk,1,38.571512,-78.293064,241.6,2026-04-20T11:20:57.000Z
trackpoint,Monday Morning Walk,1,38.571442,-78.293082,240.8,2026-04-20T11:21:02.000Z
trackpoint,Monday Morning Walk,1,38.571437,-78.293092,241.7,2026-04-20T11:21:07.000Z
trackpoint,Monday Morning Walk,1,38.571445,-78.293111,244.9,2026-04-20T11:21:12.000Z
trackpoint,Monday Morning Walk,1,38.571447,-78.293126,246,2026-04-20T11:21:17.000Z
trackpoint,Monday Morning Walk,1,38.571487,-78.293112,246.8,2026-04-20T11:21:22.000Z
trackpoint,Monday Morning Walk,1,38.571473,-78.293107,250.7,2026-04-20T11:21:27.000Z
trackpoint,Monday Morning Walk,1,38.571475,-78.293096,252.9,2026-04-20T11:21:32.000Z
trackpoint,Monday Morning Walk,1,38.57147,-78.293067,258.6,2026-04-20T11:21:37.000Z
trackpoint,Monday Morning Walk,1,38.571475,-78.293061,261.7,2026-04-20T11:21:42.000Z
trackpoint,Monday Morning Walk,1,38.571478,-78.293052,263.2,2026-04-20T11:21:47.000Z
trackpoint,Monday Morning Walk,1,38.571457,-78.293061,263.2,2026-04-20T11:21:53.000Z
trackpoint,Monday Morning Walk,1,38.571422,-78.293067,262.6,2026-04-20T11:21:58.000Z
trackpoint,Monday Morning Walk,1,38.571383,-78.293092,262.6,2026-04-20T11:22:03.000Z
trackpoint,Monday Morning Walk,1,38.571375,-78.293101,262.4,2026-04-20T11:22:08.000Z
trackpoint,Monday Morning Walk,1,38.57138,-78.293097,262.3,2026-04-20T11:22:13.000Z
trackpoint,Monday Morning Walk,1,38.571398,-78.293092,262.2,2026-04-20T11:22:18.000Z
trackpoint,Monday Morning Walk,1,38.571403,-78.293099,262.2,2026-04-20T11:22:23.000Z
trackpoint,Monday Morning Walk,1,38.57139,-78.293119,262.4,2026-04-20T11:22:28.000Z
trackpoint,Monday Morning Walk,1,38.571382,-78.293126,262.4,2026-04-20T11:22:33.000Z
trackpoint,Monday Morning Walk,1,38.571295,-78.293164,262.5,2026-04-20T11:22:38.000Z
trackpoint,Monday Morning Walk,1,38.571302,-78.293176,262.7,2026-04-20T11:22:42.000Z
trackpoint,Monday Morning Walk,1,38.571265,-78.293156,263.4,2026-04-20T11:22:49.000Z
trackpoint,Monday Morning Walk,1,38.57119,-78.293196,264.3,2026-04-20T11:22:54.000Z
trackpoint,Monday Morning Walk,1,38.571168,-78.293167,264.9,2026-04-20T11:23:00.000Z
trackpoint,Monday Morning Walk,1,38.571143,-78.293156,265.7,2026-04-20T11:23:05.000Z
trackpoint,Monday Morning Walk,1,38.571247,-78.293134,266.7,2026-04-20T11:23:10.000Z
trackpoint,Monday Morning Walk,1,38.571222,-78.293147,267,2026-04-20T11:23:15.000Z
trackpoint,Monday Morning Walk,1,38.57123,-78.293106,267.6,2026-04-20T11:23:20.000Z
trackpoint,Monday Morning Walk,1,38.57117,-78.293124,268.3,2026-04-20T11:23:25.000Z
trackpoint,Monday Morning Walk,1,38.57111,-78.293179,270.5,2026-04-20T11:23:30.000Z
trackpoint,Monday Morning Walk,1,38.5711,-78.293207,273.9,2026-04-20T11:23:35.000Z
trackpoint,Monday Morning Walk,1,38.571083,-78.293206,275,2026-04-20T11:23:40.000Z
trackpoint,Monday Morning Walk,1,38.571082,-78.293202,275.6,2026-04-20T11:23:46.000Z
trackpoint,Monday Morning Walk,1,38.571085,-78.293202,276.8,2026-04-20T11:23:51.000Z
trackpoint,Monday Morning Walk,1,38.571085,-78.293204,277,2026-04-20T11:23:56.000Z
trackpoint,Monday Morning Walk,1,38.571103,-78.293197,277.5,2026-04-20T11:24:01.000Z
trackpoint,Monday Morning Walk,1,38.571108,-78.293196,277.5,2026-04-20T11:24:06.000Z
trackpoint,Monday Morning Walk,1,38.571098,-78.293194,277.5,2026-04-20T11:24:11.000Z
trackpoint,Monday Morning Walk,1,38.571103,-78.293199,277.5,2026-04-20T11:24:16.000Z
trackpoint,Monday Morning Walk,1,38.57111,-78.293221,277.5,2026-04-20T11:24:21.000Z
trackpoint,Monday Morning Walk,1,38.571102,-78.293224,277.5,2026-04-20T11:24:26.000Z
trackpoint,Monday Morning Walk,1,38.571102,-78.293226,277.6,2026-04-20T11:24:31.000Z
trackpoint,Monday Morning Walk,1,38.57108,-78.293224,277.6,2026-04-20T11:24:36.000Z
trackpoint,Monday Morning Walk,1,38.571065,-78.293257,277.9,2026-04-20T11:24:41.000Z
trackpoint,Monday Morning Walk,1,38.571045,-78.293311,278.7,2026-04-20T11:24:46.000Z
trackpoint,Monday Morning Walk,1,38.571012,-78.293371,279.9,2026-04-20T11:24:52.000Z
trackpoint,Monday Morning Walk,1,38.570947,-78.293429,281.1,2026-04-20T11:24:57.000Z
trackpoint,Monday Morning Walk,1,38.57089,-78.293492,281.9,2026-04-20T11:25:02.000Z
trackpoint,Monday Morning Walk,1,38.570885,-78.293497,282.3,2026-04-20T11:25:07.000Z
trackpoint,Monday Morning Walk,1,38.570887,-78.293507,282.8,2026-04-20T11:25:12.000Z
trackpoint,Monday Morning Walk,1,38.570892,-78.293511,283,2026-04-20T11:25:17.000Z
trackpoint,Monday Morning Walk,1,38.570893,-78.293511,283,2026-04-20T11:25:22.000Z
trackpoint,Monday Morning Walk,1,38.570897,-78.293517,283.2,2026-04-20T11:25:27.000Z
trackpoint,Monday Morning Walk,1,38.570892,-78.293509,283.3,2026-04-20T11:25:32.000Z
trackpoint,Monday Morning Walk,1,38.57089,-78.293502,283.5,2026-04-20T11:25:37.000Z
trackpoint,Monday Morning Walk,1,38.570898,-78.293511,283.7,2026-04-20T11:25:42.000Z
trackpoint,Monday Morning Walk,1,38.57091,-78.293532,284.1,2026-04-20T11:25:48.000Z
trackpoint,Monday Morning Walk,1,38.570898,-78.293524,284.4,2026-04-20T11:25:53.000Z
trackpoint,Monday Morning Walk,1,38.570892,-78.293521,284.6,2026-04-20T11:25:58.000Z
trackpoint,Monday Morning Walk,1,38.570918,-78.293511,285.5,2026-04-20T11:26:03.000Z
trackpoint,Monday Morning Walk,1,38.57094,-78.293502,286.7,2026-04-20T11:26:08.000Z
trackpoint,Monday Morning Walk,1,38.570953,-78.293501,287.1,2026-04-20T11:26:13.000Z
trackpoint,Monday Morning Walk,1,38.570963,-78.293504,287.5,2026-04-20T11:26:18.000Z
trackpoint,Monday Morning Walk,1,38.570957,-78.293506,287.8,2026-04-20T11:26:23.000Z
trackpoint,Monday Morning Walk,1,38.570957,-78.293509,287.7,2026-04-20T11:26:28.000Z
trackpoint,Monday Morning Walk,1,38.570952,-78.293514,287.8,2026-04-20T11:26:33.000Z
trackpoint,Monday Morning Walk,1,38.57095,-78.293514,287.8,2026-04-20T11:26:38.000Z
trackpoint,Monday Morning Walk,1,38.57095,-78.293514,287.8,2026-04-20T11:26:43.000Z
trackpoint,Monday Morning Walk,1,38.570952,-78.293519,287.8,2026-04-20T11:26:48.000Z
trackpoint,Monday Morning Walk,1,38.570953,-78.293511,287.8,2026-04-20T11:26:54.000Z
trackpoint,Monday Morning Walk,1,38.570972,-78.293496,287.8,2026-04-20T11:26:59.000Z
trackpoint,Monday Morning Walk,1,38.570968,-78.293491,287.9,2026-04-20T11:27:04.000Z
trackpoint,Monday Morning Walk,1,38.570968,-78.293492,287.8,2026-04-20T11:27:09.000Z
trackpoint,Monday Morning Walk,1,38.57096,-78.293497,287.9,2026-04-20T11:27:14.000Z
trackpoint,Monday Morning Walk,1,38.570953,-78.293497,287.9,2026-04-20T11:27:19.000Z
